Company,Level Audition,Name,Re-Evaluation,2nd Re-Evaluation,ep2,ep4,ep6,ep8,ep10,ep11,ep16,ep20,ep23,note
YG ENTERTAINMENT BEIJING LIMITED,C,Yi Xuan,C,C,46,38,31,31,30,30,30,30,13,
YG ENTERTAINMENT BEIJING LIMITED,B,Chen Jinxin,B,B,76,86,102,102,-,,,,,
GAOYIBAI STUDIO,N,Gao Yibai,N,N,19,32,54,54,-,,,,,
YC,N,Liang Hongli,N,N,37,84,64,64,-,,,,,
TheYoung Entertainment,A,Liang Sen,B,B,6,3,3,3,2,2,2,2,7,
"Beijing Youhug Media Co., Ltd.",A,Luo Yizhou,A,A,48,19,16,16,14,14,14,14,2,
"Beijing Youhug Media Co., Ltd.",C,Chen Jianyu,C,C,35,54,66,66,-,,,,,
"Beijing Youhug Media Co., Ltd.",C,Jiang Zhihao,C,C,98,107,114,114,-,,,,,
"Beijing Youhug Media Co., Ltd.",C,Kong Xiangchi,C,C,107,109,105,105,-,,,,,
YI HUA ENTERTAINMENT,N,Tang Jiuzhou,N,N,3,5,5,5,5,5,5,5,5,
YI HUA ENTERTAINMENT,C,Liu Qi,C,C,97,76,52,52,-,,,,,
YI HUA ENTERTAINMENT,C,Zhang Jingyun,C,C,51,68,70,70,-,,,,,
